Variable Name (Key),Type,XDM Variable (Target),Logic / Description
event,DataLayer,eVar10,이벤트 명
web.webPageDetails.name,DataLayer,xdm.web.webPageDetails.name,webPage 명
web.webPageDetails.siteSection,DataLayer,xdm.web.webPageDetails.siteSection,siteSection 명
web.webPageDetails.URL,DataLayer,xdm.web.webPageDetails.URL,URL
user.loginStatus,DataLayer,eVar11,로그인 status
user.profile.customerId,DataLayer,eVar12,customerId
user.profile.memberTier,DataLayer,eVar13,memberTier
pageType,DataLayer,evar9,pageType
product.id,DataLayer,merchandising eVar20,product으로 시작하는 object는 PDP나 PLP용 / eVar용 product id
product.name,DataLayer,merchandising eVar21,product으로 시작하는 object는 PDP나 PLP용 / eVar용 product name
product.category,DataLayer,merchandising eVar22,product으로 시작하는 object는 PDP나 PLP용 / eVar용 product category
product.brand,DataLayer,merchandising eVar23,product으로 시작하는 object는 PDP나 PLP용 / eVar용 product brand
product.id,DataLayer,xdm.productListItems[].SKU,product으로 시작하는 object는 PDP나 PLP용 / productListItem 변수
product.name,DataLayer,xdm.productListItems[].name,product으로 시작하는 object는 PDP나 PLP용 / productListItem 변수
product.category,DataLayer,xdm.productListItems[].productCategories[].categoryID,product으로 시작하는 object는 PDP나 PLP용 / productListItem 변수
product.price,DataLayer,xdm.productListItems[].priceTotal,product으로 시작하는 object는 PDP나 PLP용 / productListItem 변수
product.currency,DataLayer,xdm.commerce.order.currencyCode,product으로 시작하는 object는 PDP나 PLP용 / productListItem 변수
product.quantity,DataLayer,xdm.productListItems[].quantity,"product으로 시작하는 object는 PDP나 PLP용 / 만약, product object가 있는데, quantity가 없다면 default는 1"
productListItems[].SKU,DataLayer,xdm.productListItems[].SKU,productListItems으로 시작하는 object는 ecommerce journey용 / 
productListItems[].name,DataLayer,xdm.productListItems[].name,productListItems으로 시작하는 object는 ecommerce journey용 / 
productListItems[].category,DataLayer,xdm.productListItems[].productCategories[].categoryID,productListItems으로 시작하는 object는 ecommerce journey용 / 
productListItems[].priceTotal,DataLayer,xdm.productListItems[].priceTotal,productListItems으로 시작하는 object는 ecommerce journey용 / 
productListItems[].currencyCode,DataLayer,xdm.commerce.order.currencyCode,productListItems으로 시작하는 object는 ecommerce journey용 / 
productListItems[].quantity,DataLayer,xdm.productListItems[].quantity,productListItems으로 시작하는 object는 ecommerce journey용 / 
productListItems[].SKU,DataLayer,merchandising eVar20,productListItems으로 시작하는 object는 ecommerce journey용 / eVar용 product id
productListItems[].name,DataLayer,merchandising eVar21,productListItems으로 시작하는 object는 ecommerce journey용 / eVar용 product name
productListItems[].category,DataLayer,merchandising eVar22,productListItems으로 시작하는 object는 ecommerce journey용 / eVar용 product category
productListItems[].brand,DataLayer,merchandising eVar23,productListItems으로 시작하는 object는 ecommerce journey용 / eVar용 product brand
commerce.order.purchaseID,DataLayer,xdm.commerce.order.purchaseID,
commerce.purchases.value,DataLayer,xdm.commerce.purchases.value,
commerce.order.currencyCode,DataLayer,xdm.commerce.order.currencyCode,
data-aa-product-id,Attribute,merchandising eVar20,클릭된 요소의 속성값
data-aa-product-id,Attribute,xdm.productListItems[].SKU,
data-aa-product-name,Attribute,merchandising eVar21,
data-aa-product-name,Attribute,xdm.productListItems[].name,
data-aa-event,Attribute,eVar10,"add_to_cart=scAdd, purchase=purchase"
data-aa-category,Attribute,merchandising eVar22,
data-aa-brand,Attribute,merchandising eVar23,
data-aa-price,Attribute,xdm.productListItems[].priceTotal,
data-aa-currency,Attribute,xdm.commerce.order.currencyCode,
